Reaction	In-Pathway
RXN-11166	
RXN-18477	PWY-7862
RXN18C3-56	PWY18C3-21 // PWY18C3-25
RXN-14809	PWY-8329 // PWY-7295 // PWY-5517 // ARABCAT-PWY
RXN-23654	PWY-8430
RXN-10781	PWY-6313
RXN-17120	
RXN-22929	RXN-20315
RXN-23418	PWY-8397
RXN-21372	
RXN-15188	PWY-7430
2.6.1.50-RXN	PWY-5940
2.5.1.71-RXN	PWY-6914
RXN-8512	PWY-5413
RXN-9754	PWY-6053
RXN-15883	PWY-7561
RXN0-5393	PWY0-1337
RXN-15600	PWY-6659
RXN-24465	
RXN-16497	PWY-7649
RXN-16819	PWY-7685
RXN-17074	PWY-8379 // PWY-7718
RXN-8966	
COA-GLUTATHIONE-REDUCTASE-NADPH-RXN	
RXN-14882	
RXN-11941	PWY-6675
RXN-21656	PWY-8174
RXN-15118	
RXN2G6Z-24	PWY2G6Z-4
RXN-17203	
RXN-13901	PWY-7157
RXN-17337	PWY-5532
RXN-16570	PWY-7658
RXN0-7443	
RXN0-4621	PWY-7883 // PWY0-1261
RXN-10115	
RXN-17632	
RXN-17245	
RXN-22020	
RXN-20493	PWY-8049
RXN-15727	
N-ACYLGLUCOSAMINE-2-EPIMERASE-RXN	
RXN-19461	PWY-5903 // RXN-9374
2.6.1.58-RXN	PWY-7275 // PWY-5079
RXN-21742	PWY-8179
RXN-17061	PWY-7716 // 2.3.1.164-RXN
RXN-18787	
