Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-6947	Super-Pathways // Fatty-Acid-and-Lipid-Degradation	Cholesterol-Degradation // Super-Pathways	TAX-2	TAX-1773 // TAX-83332 // TAX-74576	PWY-6946 // PWY-6944
PWY-7533	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-1131492 // TAX-4751	TAX-746128	RXN-15686 // RXN-15685 // RXN-15684 // RXN-15683 // RXN-15682 // RXN-15681 // RXN-15680 // RXN-15679 // RXN-15678
PWY-8159	Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	TAX-2759 // TAX-2 // TAX-2157	TAX-511145 // TAX-9606 // ORG-5993	RXN-21525 // RXN-21524 // RXN-21523 // RXN-21522
PWY-7587	Lipid-Biosynthesis	Oleate-Biosynthesis	TAX-1117	TAX-264691 // TAX-261476 // TAX-1148	RXN-16067 // RXN-16024 // RXN-16023
PWY-7437	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-2759	TAX-9606	RXN-15215 // RXN-15205
PWY-8077	SECONDARY-METABOLITE-BIOSYNTHESIS	PYRROLIDINE-ALKALOIDS // Toxin-Biosynthesis	TAX-58024	TAX-992638 // TAX-3311	RXN-20906 // RXN-20798 // RXN-14181
PWY-5996	Lipid-Biosynthesis	Oleate-Biosynthesis	TAX-33154	TAX-4932 // TAX-9606 // TAX-10116	RXN-9666 // 1.14.19.1-RXN
PWY-7647	Carbohydrates-Degradation // Polymer-Degradation	POLYSACCHARIDES-DEG	TAX-2	TAX-906888	RXN-16486 // RXN-16487
PWY-6946	Fatty-Acid-and-Lipid-Degradation	Cholesterol-Degradation	TAX-2	TAX-1773 // TAX-83332 // TAX-74576	RXN-17650 // RXN-17648 // RXN-17645 // RXN-17647 // RXN-17646 // RXN-12848 // RXN-12849 // RXN-12850 // RXN-12745 // RXN-12744 // RXN-12743 // RXN-12710 // RXN-12709 // RXN-12708 // RXN-12707 // RXN-12706 // RXN-12705 // RXN-12704 // RXN-12703 // RXN-12702 // RXN-12694 // RXN-12693
PWY-5955	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-4751	TAX-5059 // TAX-162425 // TAX-5067 // TAX-46472	RXN-9491 // RXN-9490 // RXN-9493 // RXN-9492 // RXN-9489 // RXN-9494 // RXN-9488 // RXN-9487 // RXN-9486
PWY-5147	Lipid-Biosynthesis	Oleate-Biosynthesis	TAX-33090 // TAX-33682	TAX-4222 // TAX-3039 // TAX-3435 // ORG-5993	RXN-9644 // 3.1.2.14-RXN // RXN-7903
PWY-7831	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-33208	TAX-9606	2.4.1.38-RXN // RXN-18262 // RXN-18250 // RXN-18251 // RXN-18243 // RXN-18249 // RXN-18245 // RXN-18235 // RXN-18254 // 2.4.99.6-RXN // GALACTOSIDE-3-FUCOSYLTRANSFERASE-RXN
PWY-8314	Carbohydrates-Degradation // Polymer-Degradation	POLYSACCHARIDES-DEG	TAX-2	TAX-85085	RXN-22587 // 4.2.2.18-RXN // RXN-22585
PWY-7673	SECONDARY-METABOLITE-BIOSYNTHESIS	POLYKETIDE-SYN // Toxin-Biosynthesis	TAX-4751	TAX-5127 // TAX-117187	RXN-16744 // RXN-16743 // RXN-16742 // RXN-16741 // RXN-16740 // RXN-16739 // RXN-16738
PWY-8086	Energy-Metabolism	Fermentation-to-propanoate	TAX-2	TAX-29466	ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // FHLMULTI-RXN // PYRUVFORMLY-RXN // L-LACTATE-DEHYDROGENASE-RXN // PYRUVATE-CARBOXYLASE-RXN // RXN-19738 // MALATE-DEH-RXN // METHYLMALONYL-COA-MUT-RXN // METHYLMALONYL-COA-EPIM-RXN // RXN0-268 // R601-RXN // FUMHYDR-RXN
PWY-7664	Lipid-Biosynthesis	Oleate-Biosynthesis	TAX-2	TAX-1377 // TAX-1520 // TAX-272943	RXN-9533 // RXN-16628 // RXN-16627 // RXN-16626 // RXN-16625 // RXN-16624 // RXN-16623 // RXN-16622 // RXN-16621 // RXN-16620 // RXN-16619 // RXN-16616 // RXN-16615 // RXN-16614
PWY-6816	Carbohydrates-Degradation // Polymer-Degradation	POLYSACCHARIDES-DEG	TAX-2	TAX-47913 // TAX-63186	3.2.1.81-RXN // 3.2.1.159-RXN
PWY-8154	Super-Pathways // Fatty-Acid-and-Lipid-Degradation	Cholesterol-Degradation // Super-Pathways	TAX-2	TAX-465721	PWY-8152 // PWY-8151
PWY-8117	SECONDARY-METABOLITE-BIOSYNTHESIS	POLYKETIDE-SYN // Toxin-Biosynthesis	TAX-562	TAX-714962	RXN-23364 // RXN-21153 // RXN-21152 // TRANS-RXN-393 // RXN-21151 // RXN-21101 // RXN-21102 // RXN-21131 // RXN-21130 // RXN-21129 // RXN-21127 // RXN-21128 // RXN-21126 // RXN-21125 // RXN-21124 // RXN-21123 // ENTF-RXN // RXN-21122 // RXN-21121 // RXN-11115 // RXN-21118 // RXN-21120 // RXN-9376 // RXN-21117 // RXN-21119 // RXN-21116 // RXN-21115 // RXN-21114 // RXN-21112 // RXN-21111 // RXN-21110 // RXN-21109 // RXN-21108 // RXN-17190 // RXN-21104 // RXN-21105 // RXN-21106 // RXN-21107
PWY-6048	Noncarbon-Nutrients	Methylthiopropionate-Degradation	TAX-2	TAX-28108 // TAX-246200 // ORG-6057 // ORG-6058	RXN-16013 // RXN-16012 // RXN-16011 // RXN-16010 // RXN-12571 // RXN-12572
PWY-7837	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-2759	TAX-9606	RXN-22624 // 2.4.1.150-RXN // RXN-15278 // RXN-15276 // 2.4.1.149-RXN // 2.4.1.38-RXN
PWY-7456	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Glycan-Pathways // POLYSACCHARIDES-DEG	TAX-2	TAX-272559 // TAX-697329 // ORG-6253	3.2.1.78-RXN // RXN-15202 // MANNPISOM-RXN // PHOSMANMUT-RXN // RXN-12977 // RXN-15344 // 3.2.1.100-RXN
PWY-5960	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-4751	TAX-5059 // TAX-5067	RXN-9503 // RXN-9502 // RXN-9501 // RXN-9500 // RXN-9499
PWY-8377	Energy-Metabolism	Acetate-Formation	TAX-213115	TAX-876 // TAX-881 // TAX-58180	RXN-23216 // PYRUFLAVREDUCT-RXN // CYTOCHROME-C3-HYDROGENASE-RXN // RXN-23215 // L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN // 1.1.2.5-RXN // ACETATEKIN-RXN // PHOSACETYLTRANS-RXN
PWY-6045	Noncarbon-Nutrients	Methylthiopropionate-Degradation	TAX-2	ORG-6055	RXN-9738
