Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-8006	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Glycan-Pathways // POLYSACCHARIDES-DEG	TAX-4751 // TAX-2	TAX-105351 // TAX-5061 // TAX-5507 // TAX-5141 // TAX-33903 // TAX-5547	RXN-19761
PWY-5064	Tetrapyrrole-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Chlorophyll-a-Biosynthesis	TAX-33090	ORG-5993	RXN-5286 // RXN-7666 // RXN-7665 // RXN-7663 // RXN-7664
PWY-7907	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-2	TAX-287	RXN-19486 // RXN-19484 // RXN-18810 // RXN-18809 // RXN-18808 // RXN-18807 // RXN-18803 // RXN-17190 // RXN-18804 // RXN-18805
PWY-7962	Cofactor-Biosynthesis	Cobamide-De-Novo-Biosynthesis	TAX-2 // TAX-2157	TAX-2283 // TAX-1752 // TAX-43306 // TAX-90371	R344-RXN // R343-RXN // RXN-19344 // RXN-6261 // COBINPGUANYLYLTRANS-RXN // R345-RXN
PWY-7776	Hydrocarbon-Degradation	Alkene-Degradation	TAX-2	TAX-931627 // TAX-196162 // TAX-1829 // TAX-78245	RXN-17587 // RXN-17590 // RXN-17586 // RXN-17585 // RXN-17583 // RXN-17582 // RXN-17581 // RXN-17580
PWY-7920	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-33090	TAX-3702	RXN-19011 // RXN-19010 // RXN-19009 // RXN-19008 // RXN-19007 // RXN-19006 // RXN-19005 // 2.4.2.38-RXN // 2.4.1.143-RXN // 3.2.1.114-RXN // 2.4.1.101-RXN
PWY-6815	Carbohydrates-Degradation // Polymer-Degradation	POLYSACCHARIDES-DEG	TAX-2	TAX-63186	RXN-12429 // RXN-12427 // RXN-12426 // RXN-12424 // RXN-12423 // RXN-12422
PWY-8361	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-1117	TAX-207920	RXN-23097 // RXN-23095 // RXN-23096 // RXN-23093 // RXN-23094 // RXN-23086 // RXN-23091 // RXN-23092 // RXN-23090 // RXN-23085 // RXN-23083 // RXN-23084 // RXN-23082 // RXN-23080 // RXN-23079 // RXN-23078 // RXN-23077 // RXN-23076 // RXN-23075 // RXN-23074 // RXN-23073 // RXN-23072
PWY-5534	Hydrocarbon-Degradation	Alkene-Degradation	TAX-2	TAX-196162 // TAX-1829 // TAX-78245	RXN-8806 // 1.14.13.69-RXN // RXN-8805 // 4.2.99.19-RXN // 1.1.1.268-RXN // 1.1.1.269-RXN // 1.8.1.5-RXN
PWY-6986	Carbohydrates-Degradation // Polymer-Degradation	POLYSACCHARIDES-DEG	TAX-2	TAX-90322	RXN-23841 // RXN-23840 // 4.2.2.11-RXN // 4.2.2.3-RXN // DEOXYGLUCONOKIN-RXN // RXN-12877 // RXN-13040
PWY-5529	Super-Pathways // Tetrapyrrole-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Chlorophyll-a-Biosynthesis // Super-Pathways	TAX-191411 // TAX-135613 // TAX-204441 // TAX-204455	TAX-1097 // TAX-1049 // TAX-1063 // TAX-1061	PWY-5189 // PWY-5531 // PWY-5526
PWY-6585	HORMONE-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS // Metabolic-Clusters	Metabolic-Clusters // Plant-Hormone-Biosynthesis // Toxin-Biosynthesis	TAX-4107	TAX-4107 // TAX-62890 // TAX-4081	3-OXOLAURATE-DECARBOXYLASE-RXN // RXN-15283 // RXN-15282 // RXN-15281 // RXN-15280 // RXN-11669
PWY-7778	Hydrocarbon-Degradation	Alkene-Degradation	TAX-2	TAX-1547487	RXN-17588 // RXN-17589 // RXN-17602 // RXN-17603 // RXN-17606 // RXN-17605 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN
PWY-7426	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-7742	TAX-9031 // TAX-9606	RXN-19003 // RXN-19002 // RXN-19001 // 2.4.1.68-RXN // 2.4.1.155-RXN // 2.4.1.144-RXN // 2.4.1.145-RXN // 2.4.1.143-RXN // 3.2.1.114-RXN // 2.4.1.101-RXN
PWY-7828	Carbohydrates-Degradation	Carbohydrates-Degradation	TAX-2	TAX-182640	RXN-18147 // RXN-18151 // RXN-18149
PWY-7958	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-1892263	TAX-83542 // TAX-1930929	RXN-19283 // RXN-19282 // RXN-19264 // RXN-19268 // RXN-19272
PWY-7777	Hydrocarbon-Degradation	Alkene-Degradation	TAX-2	TAX-103808	RXN-17596 // RXN-17591 // RXN-17592 // RXN-17593 // RXN-17594 // RXN-17595
PWY-862	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Glycan-Pathways // POLYSACCHARIDES-DEG	TAX-3193	TAX-4498 // TAX-15957 // TAX-4565	RXN-12220 // RXN-1863 // RXN-1841
PWY-5086	Tetrapyrrole-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Chlorophyll-a-Biosynthesis	TAX-2763 // TAX-1117 // TAX-33682 // TAX-33090	TAX-4498 // TAX-4097 // ORG-5993	RXN-5286 // RXN1F-66
PWY-7490	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-4751	TAX-27334 // TAX-5078 // TAX-29844 // ORG-6260	RXN-15485 // RXN-15484 // RXN-15483 // RXN-15482 // RXN-15480 // RXN-15475 // RXN-15473 // RXN-15470 // 6-METHYLSALICYLATE-DECARBOXYLASE-RXN // 2.3.1.165-RXN
HISDEG-PWY	Amino-Acid-Degradation	HISTIDINE-DEG	TAX-2	TAX-1553 // TAX-90371 // TAX-573 // TAX-548 // TAX-1423	FORMIMINOGLUTAMASE-RXN // IMIDAZOLONEPROPIONASE-RXN // UROCANATE-HYDRATASE-RXN // HISTIDINE-AMMONIA-LYASE-RXN
PWY-7979	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-33208	TAX-9606	2.4.1.83-RXN // RXN-19397 // RXN-19398 // RXN-19399 // 2.4.1.109-RXN
PWY-6813	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Glycan-Pathways // POLYSACCHARIDES-DEG	TAX-4751 // TAX-2	TAX-105351 // TAX-5061 // TAX-224308	RXN-19760
PWY-8045	SECONDARY-METABOLITE-BIOSYNTHESIS	S-CONTAINING-SECONDARY-CMPD-SYN // Toxin-Biosynthesis	TAX-1117	TAX-105352 // TAX-1176 // TAX-75695 // TAX-478021 // TAX-587415 // TAX-312883 // TAX-198593	RXN-20454 // RXN-20448 // RXN-20449 // RXN-20450 // RXN-20453 // RXN-20451 // RXN-20452 // GLYCINE-AMIDINOTRANSFERASE-RXN
PWY-5028	Amino-Acid-Degradation	HISTIDINE-DEG	TAX-1224	TAX-303 // TAX-294 // TAX-287	N-FORMYLGLUTAMATE-DEFORMYLASE-RXN // FORMIMINOGLUTAMATE-DEIMINASE-RXN // IMIDAZOLONEPROPIONASE-RXN // UROCANATE-HYDRATASE-RXN // HISTIDINE-AMMONIA-LYASE-RXN
